Name,Team,Total points,average points,match played,total runs ,total wickets

1Kuldeep Yadav,DC,440.8,62.9,7,10,12
2Nicholas Pooran,LSG,420.9,52.6,8,368,-
3Prasidh Krishna,GT,354.6,50.6,7,0,14
4Priyansh Arya,PBKS,350.4,43.8,8,254,-
5Sai Sudharsan,GT,337.3,48.1,7,365,-
6Arshdeep Singh,PBKS,324,40.5,8,2,11
7Mohammed Siraj,GT,314,44.8,7,0,11
8Digvesh Rathi,LSG,309.4,38.6,8,0,9
9Josh Hazlewood,RCB,300.3,37.5,8,0,12
10Jos Buttler,GT,294.9,42.1,7,315,-
11Pat Cummins,SRH,293.8,41.9,7,64,7
12Jofra Archer,RR,290.4,36.3,8,21,8
13Aiden Markram,LSG,287.6,35.9,8,274,2
14Noor Ahmad,CSK,285.8,40.8,7,1,12
15Sunil Narine,KKR,285.2,47.5,6,130,7
16Shardul Thakur,LSG,280.9,35.1,8,14,12
17Yashasvi Jaiswal,RR,279.7,34.9,8,307,-
18KL Rahul,DC,278.5,46.4,6,266,-
19Khaleel Ahmed,CSK,272.2,38.8,7,0,11
20Shreyas Iyer,PBKS,267.8,33.4,8,263,-
21Abhishek Sharma,SRH,263.9,37.7,7,232,-
22Virat Kohli,RCB,261,32.6,8,322,-
23Phil Salt,RCB,260.4,32.5,8,213,-
24Vipraj Nigam,DC,259.8,37.1,7,54,7
25Bhuvneshwar Kumar,RCB,257.4,36.7,7,10,8
26Krunal Pandya,RCB,250.7,31.3,8,24,10
27Yuzvendra Chahal,PBKS,247.3,30.9,8,0,9
28Sai Kishore,GT,241.8,34.5,7,1,11
29Mitchell Marsh,LSG,241.5,34.5,7,299,-
30Harshal Patel,SRH,241,40.1,6,20,9
31Varun Chakravarthy,KKR,239.6,34.2,7,0,10
32Avesh Khan,LSG,233.9,33.4,7,2,8
33Hardik Pandya,MI,225.2,37.5,6,104,11
34Riyan Parag,RR,224.1,28,8,212,-
35Mitchell Starc,DC,219.8,31.4,7,5,10
36Ajinkya Rahane,KKR,218.1,31.1,7,221,-
37Marco Jansen,PBKS,217.8,27.2,8,68,8
38Axar Patel,DC,213.6,30.5,7,140,1
39Nitish Rana,RR,211.2,26.4,8,176,-
40Wanindu Hasaranga,RR,211,35.1,6,8,9
41Harshit Rana,KKR,204.7,29.2,7,22,10
42Prabhsimran Singh,PBKS,204.5,25.5,8,209,-
43Travis Head,SRH,199.9,28.5,7,242,-
44Aniket Verma,SRH,199.3,28.4,7,159,-
45Shubman Gill,GT,199.2,28.4,7,215,-
46Tim David,RCB,190.1,23.7,8,142,-
47Maheesh Theekshana,RR,187.3,23.4,8,8,7
48Sanju Samson,RR,180.9,25.8,7,224,-
49Devdutt Padikkal,RCB,178.5,25.5,7,180,-
50Suryakumar Yadav,MI,178.4,25.4,7,265,-
51Rajat Patidar,RCB,176.3,22,8,221,-
52Yash Dayal,RCB,174.6,21.8,8,0,7
53Sandeep Sharma,RR,171.4,21.4,8,6,6
54Ravi Bishnoi,LSG,169.5,21.1,8,0,8
55Heinrich Klaasen,SRH,166.8,23.8,7,210,-
56Vaibhav Arora,KKR,164.5,27.4,6,0,8
57Suyash Sharma,RCB,164.4,23.4,7,0,4
58Angkrish Raghuvanshi,KKR,158.3,26.3,6,170,-
59Tristan Stubbs,DC,157.8,22.5,7,183,-
60Deepak Chahar,MI,154.8,22.1,7,28,5
61Rashid Khan,GT,153.7,21.9,7,22,4
62Rachin Ravindra,CSK,152.9,21.8,7,186,-
63Shivam Dube,CSK,148.7,21.2,7,180,-
64Will Jacks,MI,146.8,24.4,6,91,3
65Nehal Wadhera,PBKS,144.8,20.6,7,189,-
66Ryan Rickelton,MI,144.2,20.6,7,180,-
67Ashutosh Sharma,DC,144.2,24,6,136,-
68Ruturaj Gaikwad,CSK,142.4,28.4,5,122,-
69Glenn Maxwell,PBKS,140.1,23.3,6,41,4
70Abishek Porel,DC,140,20,7,174,-
71Ravindra Jadeja,CSK,140,20,7,92,4
72Shimron Hetmyer,RR,138.5,17.3,8,176,-
73Mukesh Kumar,DC,136.3,19.4,7,0,5
74Naman Dhir,MI,136.2,19.4,7,130,-
75Dhruv Jurel,RR,132,16.5,8,191,-
76Abdul Samad,LSG,131.6,18.8,7,111,-
77Matheesha Pathirana,CSK,129.1,25.8,5,0,7
78Quinton de Kock,KKR,128.3,18.3,7,143,-
79Karun Nair,DC,127.7,42.5,3,120,-
80Vignesh Puthur,MI,127.2,31.8,4,0,6
81Tilak Varma,MI,124.1,17.7,7,231,-
82Sherfane Rutherford,GT,123.3,17.6,7,201,-
83Lockie Ferguson,PBKS,122.5,30.6,4,4,5
84Tushar Deshpande,RR,121.2,17.3,7,6,6
85Trent Boult,MI,118.8,16.9,7,2,6
86Mohammed Shami,SRH,118.6,16.9,7,10,5
87Ayush Badoni,LSG,114.8,14.3,8,181,-
88Rinku Singh,KKR,114.5,16.3,7,116,-
89Shashank Singh,PBKS,112.8,14.1,8,158,-
90Washington Sundar,GT,112.2,56.1,2,51,1
91MS Dhoni,CSK,109.7,15.6,7,130,-
92Venkatesh Iyer,KKR,107.2,15.3,7,121,-
93Zeeshan Ansari,SRH,104.6,20.9,5,0,4
94Vijay Shankar,CSK,99.7,19.9,5,118,-
95Karn Sharma,MI,95.6,47.8,2,0,3
96Faf du Plessis,DC,93,31,3,81,-
97Arshad Khan,GT,89.4,17.8,5,1,3
98Ravichandran Ashwin,CSK,87.8,14.6,6,12,5
99Ashwani Kumar,MI,85.7,42.8,2,0,5
100Liam Livingstone,RCB,85.5,12.2,7,87,2
101Jitesh Sharma,RCB,83.5,10.4,8,101,-
102Mohit Sharma,DC,82.5,11.7,7,1,2
103Jasprit Bumrah,MI,81.7,27.2,3,0,2
104Ishan Kishan,SRH,81.1,11.5,7,138,-
105Eshan Malinga,SRH,80.6,40.3,2,0,4
106Moeen Ali,KKR,80.5,26.8,3,5,3
107Mitchell Santner,MI,78.1,11.1,7,39,3
108M Shahrukh Khan,GT,64.4,9.2,7,62,-
109Rohit Sharma,MI,60.9,10.1,6,82,-
110Akash Deep,LSG,60.6,15.1,4,0,3
111Andre Russell,KKR,60.5,8.6,7,34,5
112Prince Yadav,LSG,57.5,19.1,3,0,1
113Rahul Tewatia,GT,55.5,7.9,7,41,-
114Devon Conway,CSK,53.7,17.9,3,94,-
115Kumar Kartikeya,RR,53.5,17.8,3,1,2
116Anshul Kamboj,CSK,50.9,25.4,2,3,2
117Kagiso Rabada,GT,50.4,25.2,2,7,2
118Xavier Bartlett,PBKS,44.8,14.9,3,11,2
119Harpreet Brar,PBKS,42.2,21.1,2,0,3
120Josh Inglis,PBKS,40.9,13.6,3,45,-
121Vaibhav Suryavanshi,RR,39,39,1,34,-
122Ishant Sharma,GT,38.6,9.6,4,0,2
123Manimaran Siddharth,LSG,38.4,19.2,2,0,2
124Marcus Stoinis,PBKS,38.4,5.4,7,67,-
125Kamindu Mendis,SRH,34.6,17.3,2,28,1
126Nitish Kumar Reddy,SRH,32.6,4.6,7,131,-
127Manish Pandey,KKR,30.2,30.2,1,19,-
128Romario Shepherd,RCB,29.6,29.6,1,0,1
129Shaik Rasheed,CSK,29.1,29.1,1,27,-
130Ramandeep Singh,KKR,27.7,3.9,7,29,-
131David Miller,LSG,26.4,3.3,8,104,-
132Rahul Tripathi,CSK,24.1,4.8,5,55,-
133Vijaykumar Vyshak,PBKS,23.7,23.7,1,0,-
134Kulwant Khejroliya,GT,22.1,22.1,1,0,1
135Shubham Dubey,RR,20.8,5.2,4,47,-
136Sameer Rizvi,DC,17.9,8.9,2,24,-
137Anrich Nortje,KKR,16.6,16.6,1,0,1
138Adam Zampa,SRH,15.8,7.9,2,0,2
139Jake Fraser-McGurk,DC,15.6,2.6,6,55,-
140Yash Thakur,PBKS,14.6,7.3,2,0,1
141Mukesh Choudhary,CSK,12.2,6.1,2,0,1
142Rasikh Salam,RCB,12.1,6,2,0,1
143Nathan Ellis,CSK,10.4,10.4,1,0,1
144Mujeeb Ur Rahman,MI,8.1,8.1,1,0,1
145Jaydev Unadkat,SRH,2.9,2.9,1,0,-
146Suryansh Shedge,PBKS,1.8,0.4,4,6,-
147Rahul Chahar,SRH,0.9,0.9,1,0,-
148Himmat Singh,LSG,0,0,1,0,-
149RajÂ Bawa,MI,0,0,1,0,-
150Yudhvir Singh,RR,-0.4,-0.4,1,0,-
151Manoj Bhandage,RCB,-3,-3,1,1,-
152Fazalhaq Farooqi,RR,-4.2,-2.1,2,0,-
153Jamie Overton,CSK,-4.4,-2.2,2,11,-
154Satyanarayana Raju,MI,-5.6,-2.8,2,1,1
155Spencer Johnson,KKR,-5.9,-1.5,4,2,1
156Donovan Ferreira,DC,-6.7,-6.7,1,1,-
157Wiaan Mulder,SRH,-7.4,-7.4,1,9,-
158Shahbaz Ahmed,LSG,-8.9,-8.9,1,9,-
159Azmatullah Omarzai,PBKS,-11.9,-11.9,1,16,-
160Simarjeet Singh,SRH,-13.3,-3.4,4,3,2
161Rishabh Pant,LSG,-14.3,-1.8,8,106,-
162Deepak Hooda,CSK,-18.8,-6.3,3,7,-
163Robin Minz,MI,-19.8,-9.9,2,6,-
164Abhinav Manohar,SRH,-20.7,-5.2,4,6,-
165Sam Curran,CSK,-24.5,-12.3,2,12,-
